ethnicLabel,Freebase
Bulgarians in Ukraine,/m/02z4njb
Ethiopian Armenians,/m/04lhsvj
Poleszuk,/m/020pyp
Sart,/m/09c9zb
Sakapultek people,/m/0479lkm
Polochans,/m/079210
Luguru people,/m/0gc2yh
Zlicans,/m/07w2rf
Mangwato,/m/09n_lr
Kuikuro people,/m/03d8b6y
Albazinians,/m/02w2bkc
Serbs of Kosovo,/m/0bh99zd
Chelkans,/m/06dc5x
Azerbaijani Kurds,/m/080lct8
Permians,/m/04n25y4
Bayid,/m/03gs2pk
Arab Jews,/m/02vk89f
Bhotiya,/m/050tfn
Kursenieki,/m/0fys5d
Bezhta people,/m/04g2013
Mishar Tatars,/m/0108bmzz
Indian Americans,/m/04gfy7
Matlatzinca,/m/0gsw44
Dom people,/m/0320dm
Afro-Chilean,/m/047dg4g
Natukhai people,/m/0cmck54
Vietnamese Americans,/m/01tyl3
British Chinese,/m/04mmhj
Budukh people,/m/04f_rlj
Mumuye people,/m/07dn9f
Jukun people,/m/0gdr50
Kiliwa people,/m/02637j6
Turduli,/m/06m3c7
Querandí,/m/06jyc4
Yaaku people,/m/067d1h
Melungeon,/m/01hz_5
Limbu people,/m/03z826
Trique people,/m/0h3_ql
Angu people,/m/09kc7c
Armenians in France,/m/04lg7j6
Piegan Blackfeet,/m/0drcf
Bhati,/m/08cq3z
Alyutors,/m/0dsd73
Croats in Slovakia,/m/02687f1
Songhees,/m/02rczt1
Cuban American,/m/04dbw3
Otoe tribe,/m/04w74n
Gunai,/m/05vf8p
Kwegu people,/m/0fqmky_
West Frisians,/m/0ch3xrb
Ladin people,/m/0n50tnz
Thakali,/m/03yrpt
Lak people,/m/06fvvv
Lampung people,/m/011q96bh
Dan people,/m/0d4c91
Lao Ga,/m/03ctlcm
Lao Song,/m/03ctlsc
Sechelt people,/m/06dbt3
Quinault people,/m/01tr79
Lummi,/m/01w61w
Nauset,/m/06z4pj
Urak Lawoi’,/m/02rztdk
Betasii,/m/0h52y_6
Sri Lankan Tamils,/m/0bhsnb
Neutral Nation,/m/041310
Rendille people,/m/089_6x
Pintupi,/m/0cdv5s
Haya people,/m/0gf0t9
Nuxalk,/m/0t_dbf6
Salish peoples,/m/02qlt0r
Amanayé people,/m/0dms76
Syrian Jews,/m/0dr63x
Sika people,/m/07lrf0
Albanian American,/m/0ffhz3
Wintun people,/m/02szz8
Isaaq,/m/05ny91
Mushki,/m/04h6ws
Loma people,/m/025w8px
Chinese people in Senegal,/m/05q9mgf
Pame people,/m/0fy__0
Logol people,/m/0cw_db
Lomwe people,/m/0zn1h5w
Lower Skagit tribe,/m/03gy07x
Machapunga,/m/0b79x3
Machinere people,/m/0j3d15b
Magarha,/m/0gmh04p
Lumbee,/m/046j25
Makah people,/m/01t889
Makassar people,/m/0t_f2mm
Macedonian Bulgarians,/m/05zr4vb
Masurians,/m/01zprt
Bushinengue,/m/012brb7v
Madi people,/m/08fkcc
Chinese Nicaraguan,/m/011b2m1x
Afro Mexicans,/m/096p9t
Mhallami,/m/02w7qd_
Mosuo,/m/01jyvf
Marma people,/m/0546t8
Chinese Cuban,/m/03hvtc
Si La people,/m/013zyh
Mozabite people,/m/068fz0
Minahasan people,/m/0301t0
Pomeranians,/m/01__ld
Missouria,/m/04ylg
Miwok people,/m/02l_wv
no olvidemos que a ellos les gusta el sexo y a las mujeres maturbarse con un cojin o una piedra o con un palo de escoba,/m/097gbf
Mlabri people,/m/08_9d5
Mokshas,/m/0gxzjrm
Chuvans,/m/05081k
Chinese Indonesians,/m/0152wh
Oji-Cree,/m/0d4c4x
Nicola people,/m/096ffg
Anishinaabe,/m/046gpd
Sipakapense people,/m/047plcx
Teochew people,/m/02pxhxy
Norwegian New Zealander,/m/0b6g8bx
Zemba,/m/0nfw2tt
Witoto people,/m/0hn8qg5
Losso people,/m/059qtn
Southern Ndebele people,/m/08fsnm
Nzime people,/m/0dn6wb
Tewa people,/m/04srsy
Chinese Filipino,/m/04czx7
Anglo-Burmese people,/m/07rxkg
Russians in Kazakhstan,/m/0bf1r_
Ukrainian Argentine,/m/01172_g5
Ukrainian Canadians,/m/03zcwh
Lom people,/m/074z93
Ukrainians in Russia,/m/03c5lqb
Nepalis in Austria,/m/0ds9z1w
Nespelem tribe,/m/03c9b33
Neusiok people,/m/0w1d6_j
Siberian Tatars,/m/058nky
Odia people,/m/0d80qw
Aka,/m/045s68
Khotogoid,/m/03cjx5k
Russians in Lithuania,/m/01192cs4
Angami Naga,/m/068lkz
Tver Karelians,/m/0h7mgw_
Italians of Romania,/m/0261kt6
Nisga’a people,/m/04s38j
Nisqually people,/m/01t8b6
Njem people,/m/04zgd8
Firozkohi,/m/0gk_cz4
Lucanians,/m/096_29
Marathi people,/m/0cqgdq
Marsi,/m/014wry
Pedi people,/m/02vy902
Senufo people,/m/0g9zt
Bodo people,/m/038nrz
Balinese people,/m/0409xr
Karenni people,/m/0gcmq2
Lozi people,/m/07ccw4
Indo-Aryan peoples,/m/054xwh
Shilha people,/m/068d73
Malayali,/m/04mvp8
Nguni people,/m/02qrnwj
Gondi people,/m/02mt2_
Quapaw,/m/06jy2_
Lamtuna,/m/07j_n4
Kalapuya people,/m/03b0qj
Zacateco,/m/0ckw9d
Taulantii,/m/05qt6y
Langi people,/m/01rnfr
Munduruku people,/m/08yh_0
Chʼol people,/m/0431wz
Gurjar,/m/02p5s5
Ghegs,/m/0w7pp4s
Mizo people,/m/05ns7f
Ixil people,/m/0466jwz
Kisii people,/m/02z2s5
Taita people,/m/02wyrgx
Mursi people,/m/06942w
Oeselians,/m/02738f2
Cape Malay,/m/03vc6l
Janjevci,/m/02qjrp
Rechabite,/m/0j25y
Susquehannock,/m/04j3wn
Nuba peoples,/m/04b64b
Guyanese,/m/04n3v7w
Teso people,/m/07167c
Chatino people,/m/0h34s9
Gujarati people,/m/0g0x7_
Tahitians,/m/06w6mqb
Carolinian people,/m/04_015q
Guaymí people,/m/07fmkg
Ngāpuhi,/m/03bms8
Native Hawaiians,/m/032j30
Sihanaka,/m/0fq2hyf
Wichís,/m/0710hp
Maltese,/m/09fhsg
Yaruro people,/m/077c5k
Edo people,/m/03bzcmb
Dogra,/m/05ztd1
Ye'kuana people,/m/03gzxvj
Megleno-Romanians,/m/01vy0n
Munda people,/m/05s5ck
Tipra People,/m/0bgb0k
Assamese people,/m/02q9bc8
Amuzgo people,/m/0jk_wwv
Masaesyli,/m/04gpw0l
Guahibo people,/m/02qbm8t
Mazahua pobres,/m/05d5z8
Dingling,/m/07vfhs
Croats of Serbia,/m/02w2q4m
Syrian Turkmen,/m/02ql21h
Khond people,/m/09xn5v
Meru people,/m/07ygd9
Khmer Loeu,/m/06qfk7
Sandawe people,/m/0gb72c
Lunda people,/m/027zwhd
Sagudates,/m/0g9y2pc
Norse–Gaels,/m/09zvv5
Bicolano people,/m/09c0vq
Adi people,/m/04c13c
Pangasinan people,/m/0cy34r
Macha Oromo,/m/0n52xz0
Gurma people,/m/07fthp
Istro-Romanians,/m/026n_9_
Jivaroan people,/m/032g_3
Dörbets,/m/05nbz_
German immigration to Switzerland,/m/0gvs0kr
Prussian Lithuanians,/m/03bzl0d
Tubalar,/m/06dccy
Black Seminoles,/m/07nvt_
Gadubanud,/m/051yd0r
Kamchadals,/m/05t1mp
Pauquachin,/m/0100st8d
Makaa people,/m/04zg1_
Embera people,/m/0zm_35b
Yazoo people,/m/095yt5
Chinese Tatars,/m/026srcg
Crimean Goths,/m/05w43g
Gurung people,/m/03xmbp
Võros,/m/04v1d2
Entiat tribe,/m/03c9f55
Gododdin,/m/0d7v4
Bahnar people,/m/0dnbl9
Sel'knam people,/m/04lwjf
Matis,/m/02x9br2
Nanman,/m/069675
Lacandon people,/m/01dy35
Sakalava people,/m/0ctrs6
Turkmens,/m/04610y
Kyrgyz people,/m/0pzdp
Ingush people,/m/03nt3h
Romanians,/m/01vr3v
Ik people,/m/03_q31
Bashkir people,/m/0161cl
Quraysh,/m/027zhz
Yakuts,/m/02fzf8
Tillamook,/m/047nf9r
Kurpie,/m/03nn_8v
St'at'imc people,/m/030rn1
Mattaponi,/m/0dvz3k
Goshute,/m/02xgnm
Moldovans,/m/06xwms
Songhai people,/m/02xypn
Osci,/m/012xp6
Sadlermiut,/m/03x_drs
Koreans in Vietnam,/m/01196my5
Guugu Yimithirr people,/m/03q6nt
Sitones,/m/029ljk
Kaska people,/m/07d86z
Andamanese people,/m/04tx14
Nicoleño,/m/0c_z49
Shasta people,/m/0717mc
Atikamekw people,/m/0k_11
Spokane,/m/06v0_r
Duwamish,/m/01txvm
Umatilla,/m/03r24z
Coeur d'Alene people,/m/03jpzl
Nakoda,/m/0c9157
Masovians,/m/09v1kr4
Oghuz Turks,/m/01fqpy
Cayuse people,/m/01xlcp
Coushatta,/m/07q6cg
Koreans in the Philippines,/m/09chsd
Mi’kmaw,/m/01tbkn
Naskapi,/m/02vk565
Chilcotin people,/m/05ss_x
Tagish people,/m/03p9gg
Dilling people,/m/0cjfzn
Innu people,/m/0kzyy
Creole,/m/0mdg_
Klamath people,/m/04d01
Alabama people,/m/053f9_
Samnites,/m/0nhgtjv
Nambiar,/m/026tqf0
Udi people,/m/0g6f20
Dominican Republic immigration to Puerto Rico,/m/011bn4j3
Mizrahi Jews,/m/033qxt
Baining people,/m/0bzbtp
Ket people,/m/02t_yy
Hidatsa people,/m/0265s12
Bamar,/m/075lyt
Puruhá,/m/0wzs15k
Nanai people,/m/01wx4c
Bambara,/m/029llc
Lurs,/m/0g94xq
Afro-Peruvian,/m/0883pw
Zoque people,/m/0dxb_q
Corsicans,/m/0g5rkt4
Paiute people,/m/016wtv
Gros Ventre people,/m/069v5w
Mandan,/m/03y06_
Croats of Hungary,/m/0bmcc1b
Tzeltal people,/m/0gy0318
Nukak,/m/0bx9sq
Bosniaks in Hungary,/m/0bbzv90
Okiek people,/m/0gcnkc
Czech Americans,/m/0h2138
Tahamí people,/m/0g9zj2_
Germans of Hungary,/m/0dtq52
Khmu,/m/0681sf
Toubou people,/m/07tv2c
Newar people,/m/03xx4q
Chinese people in Spain,/m/0267gs0
Charrúa people,/m/02npgy
Ijaw people,/m/02wb1k
Garo people,/m/05zjyx
Greeks in Albania,/m/04lh29b
Tumbuka people,/m/02h4tq
Odawa,/m/02sprb
Tlingit,/m/0dfc6
Nuu-chah-nulth people,/m/01pcy2
Ossetians in Turkey,/m/04lfmh0
Greeks,/m/0jt85pd
Gottscheers,/m/0hzqmdg
Saulteaux,/m/01hkr4
Anglo-Normans,/m/01m26f
Nipmuc,/m/073k93
Poles in France,/m/09gjlf2
Albanians in North Macedonia,/m/01185353
Panará people,/m/0gk_4t
Cahuilla people,/m/02hxpgv
Thyssagetae,/m/052xr1
Akhvakh people,/m/04dzb1x
Kessinians,/m/05myhcn
Anmatyerre,/m/025sfyf
German diaspora,/m/0kt45
Serbs in Germany,/m/011bpfpg
Bitterroot Salish,/m/03lng9
Tataviam,/m/025t5l8
Maldivians,/m/0ds49m3
Maliseet people,/m/02qj43
Pembina Band of Chippewa Indians,/m/09h34v
Afro Arabs,/m/0cbql_
Serbs in Slovenia,/m/0117tq_x
Serbs of Montenegro,/m/025x2cy
Tübatulabal people,/m/025t08z
Abihka,/m/03c829l
Zubu,/m/02pnf7k
Hadendoa,/m/07ykpm
Maeotae,/m/0gppw_
Lao Theung,/m/05fx2y
Mro,/m/09gfjw1
Ngindo people,/m/0gcz55
Mandar people,/m/0fq0cc4
Masmuda,/m/06prf8
Waorani people,/m/049mr2
Hamer people,/m/073x_g
Oneida,/m/02wz7j
Navjote,/m/0285l_n
Thai Malays,/m/03qp4r3
Volhynians,/m/087kqb
Albanians in Ukraine,/m/04d_tsp
Mandja people,/m/08j6gv
Haratin,/m/07f_s3
Two Kettles,/m/0g8nbt
Hatuqwai people,/m/08_jzt
Haush,/m/05syhn_
Hawiye,/m/08371r
Methow people,/m/03cdmln
Madhesi people,/m/02pdc6j
Mangbetu people,/m/05zgtq
Sanumá people,/m/027xv5d
Hema people,/m/05dgbs
Wilamowianie,/m/0g58dyx
Bondei people,/m/0gf34q
Italo-Venezuelans,/m/03wdk69
Aneuk Jamee people,/m/01220j56
Alas,/m/01261l5m
Iuruguayo,/m/043s2v4
Italian settlers in Libya,/m/043qrds
Algonquian peoples,/m/046hhn
Darkhad,/m/02vx8h2
Tiwa people,/m/02qxzf4
Iwellemmedan people,/m/08gps_
Igbomina people,/m/0bxk0s
Hwlitsum,/m/0123kkw8
Lawa people,/m/0fz_gg
Kalderash,/m/0c7syl
Masalit people,/m/0386yx
Maghrawa,/m/06rg0s
Jats,/m/0222hg
Q1646609,/m/0gxzbsj
Passamaquoddy people,/m/02574m
Mbosi people,/m/036zm_
Somali Bantu,/m/02pzsxy
Yirrganydji people,/m/09hs3m
Tausug people,/m/09chg8
Iranun people,/m/07dkg2
Novgorod Slavs,/m/03shbt
Imraguen people,/m/0714ly
Indians in Germany,/m/026qvyv
Indigenous peoples of Africa,/m/07wbvz
Croats in Uruguay,/m/0ynvnzh
Indian Tamils of Sri Lanka,/m/08pztz
Roanoke tribe,/m/0bs7rkl
Taungurong,/m/04y5fry
Kpwe people,/m/0gtfx
Sans Arc,/m/02q23jh
Iranian people,/m/04nrnz
Skolts,/m/02ryblt
Isleño,/m/07smnq
Italian immigration to Mexico,/m/0dn1_0
Ittu Oromo,/m/02rn4_9
Siletz people,/m/039nfw
Souliotes,/m/05w483
Sihasapa,/m/020682
Vidivarii,/m/05zyq1g
Jardwadjali,/m/04_0ym0
Martu,/m/0h50dn
xueta,/m/02878tr
Ngunnawal people,/m/080001
Swampy Cree,/m/0j9ln_z
Dyula people,/m/04lkfs
Yombe people,/m/05ch_b
Sauk-Suiattle,/m/01txzf
Chechens in Turkey,/m/0v3fqz8
Kalabari tribe,/m/03cncbz
Kalkadoon people,/m/088t1f
Nzema people,/m/09kwkz
Kamasins,/m/06fb69
Kamayurá people,/m/06p6np
Kanembu people,/m/09d7qq
Mandyak people,/m/053shw4
Lao Krang,/m/04cryfr
Karajá,/m/07s97nr
Karankawa people,/m/02hxbv1
Karko people,/m/0cv1p8
Lao Wieng,/m/03ctf1g
Lao Sung,/m/05hbmr
Rer Bare people,/m/04m6b_
Estonian Swedes,/m/02rplg7
Negidals,/m/06dc78
indigenous peoples in Brazil,/m/0118vp4k
Greek Muslims,/m/0773nv
Russians in China,/m/0117gpzv
Romani people in Spain,/m/0br_9j
Phuan people,/m/011b4xct
Shatuo,/m/0260q28
Ngbandi people,/m/05zw_7n
French Americans,/m/06v41q
Khmer Krom,/m/066w8_
Pitjantjatjara people,/m/053y94
Telengits,/m/06dccl
multiracial people,/m/01kb9y
Eyak people,/m/0bbzqly
Koyukon people,/m/03wb3_
Wemale people,/m/03d3flt
Achagua people,/m/0hndx4j
Kwama people,/m/03cvt2w
Germans in Kyrgyzstan,/m/0bmfkw1
Italian Tunisians,/m/03mbm2s
Lipan Apache people,/m/0259h3
Comox people,/m/080gsdb
Mandé peoples,/m/05c2gs
Hedareb people,/m/0gsskh
Inari Sami people,/m/0bm8rgc
Quinquegentiani,/m/03m79r5
Somba people,/m/05b61bd
Filipino Americans,/m/03295l
Filipinos in Switzerland,/m/0119ryxm
Filipinos in Austria,/m/011bccmd
Inupiat people,/m/01f9bg
Kayı tribe,/m/09ybcx
Finnish Tatars,/m/0b8t17
Oorlam people,/m/0g3mzq
Udege people,/m/06dc9r
Miknasa,/m/06qf6m
Medjay,/m/03cxw8
Lani people,/m/0gcdtg
Nandi people,/m/05blk4
Wichita people,/m/049nl0
KaweKar,/m/07kn2d
Mitsogho people,/m/0118c5ym
Tivertsi,/m/0492pt
Kickapoo people,/m/04b67
Kirdi,/m/07n0p9
Croats of Bosnia and Herzegovina,/m/026wg11
Lao Lom,/m/03cstqp
Tonga people of Zambia and Zimbabwe,/m/02qmkpc
Wayampi people,/m/03h1q9w
Kwikwetlem First Nation,/m/05q91z3
Nyangatom people,/m/0dsxx0
Kadazan people,/m/05xzm_
Yana people,/m/0fwwsr
Gumuz people,/m/0cr1fr
Punan Bah people,/m/072cr1
Maliar,/m/0j9km4h
Fore people,/m/04sm1g
Sauk people,/m/0c18h
Frafra people,/m/070c5y
Rama people,/m/02pw6r0
Orma people,/m/0f4h0m
Turkana people,/m/06f82_
Abkhazians of African descent,/m/05f940d
Belarusians in Argentina,/m/012hd30y
Arab Mexican,/m/03m9my8
Dutch Australian,/m/02rp50t
White Africans of European ancestry,/m/04ggbzy
Aragonese people,/m/02q51ny
Inga people,/m/0fqqc0k
Matsés people,/m/0261syb
Palikur people,/m/03h13fr
Brazilians in Suriname,/m/0h641wp
Funj people,/m/04_dzl
Ati people,/m/02hxqz2
Antankarana,/m/0fq0nr4
Barga Mongols,/m/064089y
Uriankhai,/m/02pccmm
British Asian,/m/05sycg
Zaparo people,/m/05bv7r
Lohana,/m/075x0b
Koli people,/m/044_n8
Urarina,/m/0dz98v
Iyer,/m/01_y9c
Ukrainian Brazilians,/m/0407lfd
Alutiiq people,/m/02q92r
Yaka people,/m/067vsq
Embu people,/m/0289912
Lari people,/m/04gl64_
Agumba people,/m/096ntn
Muria people,/m/0h3x9jr
Coos people,/m/01wsms
Speakers of Xiang Chinese,/m/06w3dbh
Speakers of Gan Chinese,/m/06w6t4s
Speakers of Wu Chinese,/m/06616mh
Danu people,/m/0bbv5n
Mer people,/m/0sggnwj
Shi'a Islam in Lebanon,/m/03d6zqc
Secoya people,/m/09rlk5
Chinese Guyanese,/m/0fphcww
Chinese Peruvian,/m/030lsz
Chuj people,/m/047by4m
Pensacola people,/m/0gh7lcc
Adyumba people,/m/0j7kwst
Afro Bolivian,/m/04f_zn8
Afro Ecuadorian,/m/025rwll
Kaningi people,/m/0j7k8sz
Kele people,/m/0hgnw2d
Guambiano,/m/0ndwss5
Aluku,/m/06jfn8
Amungme,/m/0f7ql
Anang people,/m/02hyd7
Old Yishuv,/m/0464cyh
Dorobo peoples,/m/04t4kb
Anglo-Irish people,/m/0152s7
Antambahoaka,/m/0fq2v5t
Vokkaliga,/m/09ln8s
Aowin,/m/0bh79j1
Arma people,/m/03cf9zs
Aro people,/m/0c5gh3
Artabri,/m/0c42fn1
Asa people,/m/0gf3fb
Indigenous peoples in Quebec,/m/0119125r
Awabakal people,/m/08714_
Ait Yafelman,/m/0dddyx0
Paipai people,/m/02646xh
Bafia people,/m/0264m9x
Bagienni,/m/02z7lb_
Bahrani people,/m/0bd7_c
Gbandi,/m/0ch0qzv
Banu Abs,/m/0bgjdn
Barí people,/m/04_16w5
Basque American,/m/0ffjcd
Ese Ejja people,/m/0j3g2yk
Simalungun people,/m/0dlk6b4
Toba Batak people,/m/0dlmspr
Bateq people,/m/0b7vt4
Biblical Hittites,/m/02w9rp
Juang people,/m/0ffjhy
Ethiopian Jews in Israel,/m/0fq1qy6
Belait people,/m/02rhm2q
Belgian Americans,/m/0ffjjz
Ikelan,/m/05ztdc8
Belli,/m/080n88q
Bembe people,/m/0gf3_l
Beembe tribe,/m/02r8xcw
Betawi people,/m/09mq08
Bidjigal,/m/02892zf
Sebei people,/m/0d0d64
Babwa people,/m/0h7qrwz
Rejang people,/m/0g5kv2
Bnei Menashe,/m/05mfkn
Numidians,/m/05lgjx
history of the Jews under Muslim rule,/m/011bdk20
Xukuru people,/m/0hgsg
House of Israel,/m/07md7s
Buduma people,/m/0btjv7
Budu people,/m/0hgm33l
Bunda people,/m/0j247t6
Bedick people,/m/0c11q_
Caduveo (Kadiweu people),/m/0cbtz7
Tiwi people,/m/02r7c4_
Calchaquí,/m/08fwhw
Huilliche people,/m/025sst1
Antaifasy,/m/0fp_kxw
Russian Mennonite,/m/03p3k2
Yaminawá people,/m/0gr_tf
Kanuri people,/m/02t2jq
Negev Bedouin,/m/02rwzd1
Ancient Macedonians,/m/07bn11
Clatsop people,/m/039lrg
Ndyuka people,/m/0ds6f46
Sotho people,/m/027n36
Wodaabe,/m/0806kr
Rutuli,/m/06g6mz
Korean Australian,/m/02pt9lf
Narungga,/m/0bs2w17
Yaghan people,/m/02p5gss
Bats people,/m/08qy3g
Serer-Ndut people,/m/0pmtc
Hup people,/m/0f561t
Tujia people,/m/013y7f
Bongo people,/m/06zqxxj
Sanpoil tribe,/m/03c8_r3
Yukpa people,/m/02q2_8r
Taurisci,/m/04n2k3h
Bunjevci,/m/01vpv9
Dagbamba,/m/03lb6v
Ohlone people,/m/01qb50
Guatuso people,/m/07_19j
Neapolitani,/m/02853b4
Hungarians in Slovakia,/m/0119ppwx
Luvale people,/m/02ps5l6
Shirazi people,/m/0cc761m
Maesulians,/m/04n3b2v
Polish Venezuelans,/m/0n47phz
Friulians,/m/0407jxz
Itza people,/m/05l2b0
mercheros,/m/0101mkvb
Corsi,/m/028535p
Yanesha people,/m/02rjcfy
Western Apache,/m/04gy0n
Tanoli,/m/05h6p8
Narragansett people,/m/025djf
Swiss Venezuelan,/m/0n48b2x
Kven people,/m/030246
Jebala,/m/02qqdcj
Kola Norwegians,/m/05hgqp
Huave people,/m/03m4ql7
Anuak people,/m/072q79
Chakosi people,/m/0bs2kmp
Himba people,/m/01bkfn
Pare people,/m/09vyh5
Anyi people,/m/09rtph_
Baniwa people,/m/08dhyl
Ao Naga,/m/08j8dm
Demetae,/m/02ldrr
Walser,/m/037gkw
Apalachicola people,/m/02rx0ny
Serrano people,/m/0c7_w3
Derung people,/m/01wx3d
Aparai people,/m/0260f14
Costa Rican American,/m/03gy1g1
Greeks in Armenia,/m/01172kp9
Tsou people,/m/05h1b_
Babuza people,/m/05k_lm
Russians in Estonia,/m/08msw7
Apuani,/m/0288qbm
Chickasaw,/m/0n0y5
Barabaig people,/m/0gf2xt
Mixtec people,/m/01btc_
Arabs in Berlin,/m/0fphd9w
Kusunda people,/m/01bvyb
Tabasaran people,/m/0g6d_l
Rakhine people,/m/0b7rtz
Arameans/Syriacs in Germany,/m/0118k4fm
Assyrians in Syria,/m/01199tsf
Assyrians in Turkey,/m/0h63c1d
Arara people,/m/0gttq4r
Maguzawa Hausa people,/m/02pn1wt
Vietnamese people in Korea,/m/0118_6x2
Ga-Adangbe people,/m/07lj9t
Arbore people,/m/0gywjq2
Karo people,/m/0cn2k7
Ilongot people,/m/099m4l
Deceangli,/m/07w57y
Nefzaoua,/m/0c008t3
Mon people,/m/014zsv
Swiss Americans,/m/0274wt4
Spinifex people,/m/064fpp
Kongo people,/m/02y805
Kassena,/m/0ds72_n
Severians,/m/01m4t5
Yamato people,/m/03nv8v
Efutu people,/m/08nsy5
Kusasi people,/m/065_3n8
Mamprusi people,/m/09g7n1t
Logba people,/m/043p1ft
Lamba people,/m/03hntzj
Nafana people,/m/055pw1
Caribou Inuit,/m/03h1bk8
Shona people,/m/06sb5l
Taron people,/m/0g1165
Noongar people,/m/01ynpx
Ingrian Finns,/m/0334ym
Vai people,/m/06kh33
Rahaweyn,/m/0bpp79
Nyaw people,/m/08h4f2
Northern Shoshone,/m/0yp28jk
Chaamba,/m/0dd90qr
Chinese people in Italy,/m/02rml39
Russians in Latvia,/m/08mt2h
Occaneechi Band of the Saponi Nation,/m/072l99
Mosopelea,/m/082dzy
Oku people (Cameroon),/m/03_n60
Moluche people,/m/04mzs9r
Qaradaghis,/m/011f26gq
Karagash,/m/04f44k9
Tepehucho people,/m/07xkq9
Romanians in Ukraine,/m/0116s1r3
Opolans,/m/05msmnr
Armenians in Greece,/m/0118tfwd
Armenians in Azerbaijan,/m/0117q6sd
Digor people,/m/04gpcns
Godoberi people,/m/04g1l65
Botlikh people,/m/04d_r9p
Wappo people,/m/02sz_d
White Latin American,/m/027vy0s
Squamish,/m/027nt42
Penan people,/m/05p6nd
Otoro Nuba people,/m/0c_rz1
Tallensi,/m/0630y8
Tozhu Tuvans,/m/0n90c66
Paez people,/m/07gtwq
Pakistanis in Germany,/m/03hlt93
Afro Caribbeans,/m/01195fgs
Latobici,/m/03qjcz_
Golden Hill Paugussett Indian Nation,/m/03d7h3
Chinese diaspora in France,/m/025ty_l
Yuki people,/m/047pb8
Pech people,/m/04yt19
Tosks,/m/0_l454w
Penelakut,/m/027hs29
Circassians in Israel,/m/08090z6
Georgian Jews,/m/01j5gc
Banat Bulgarians,/m/0982my
Hungarian Argentines,/m/0119045m
Manggarai people,/m/043ns_7
Mpongwe people,/m/04kdxw
Lega people,/m/0hrc757
Tz'utujil people,/m/0774vn
Pa'O people,/m/0dqrdh
Indo people,/m/04nbqd
Taz people,/m/0277pt1
Chontal Maya people,/m/0cd3pz
Bakumpai people,/m/09gbpvq
Sardinians,/m/0c3z944
Siraces,/m/047fvk3
Kumeyaay people,/m/03l2_m
Semang people,/m/023k_4
Berber Jews,/m/0g97np
NunatuKavut people,/m/01186dvp
Neofiti,/m/02rmdg_
Bonda people,/m/0bdj6j
Xinca people,/m/0bqxyl
Yamasee,/m/07l65f
Kaifeng Jews,/m/05837n
Chinese people in Tanzania,/m/04yf4ft
Chinese Jamaicans,/m/0d32d1
Balanda Boor people,/m/0cj9rj
Sakuye people,/m/02rdjy7
Laotian Chinese,/m/02vw6x8
Samish,/m/0b5l9j
Aikanã,/m/0gmd43z
Saponi people,/m/084sqw
Proto-Malay,/m/0f7257
Shammar,/m/05696k
Overseas Vietnamese,/m/04bbr3
Gê peoples,/m/05c27p
Mang people,/m/0dn93y
Xo Dang people,/m/0ct7tx
Italian Canadians,/m/05sf2x
San Diu people,/m/01t97q
Ngái people,/m/026tp_8
Lachi people,/m/03cfl1d
Qabiao people,/m/03cfmn3
Churu people,/m/03cbg59
Italian Australian,/m/08v2k7
Siceliotes,/m/07xdc7
Indigenous peoples in Colombia,/m/0119_d1m
Andoque,/m/03mf7sf
Parintintín,/m/04ct9qv
Cubeo people,/m/02r4wm_
Ofayé people,/m/04kp1m
Mawé people,/m/04q27hz
Anambé,/m/0gtxs3w
Suruí do Pará,/m/0j9p51t
Uru-Eu-Wau-Wau,/m/0gmh322
Tupiniquim people,/m/0365fz
Japanese in the Philippines,/m/04nhw2
Nakh peoples,/m/0266ctz
Abgaal,/m/0ftqy7
Sengoi people,/m/0725t
Asmat people,/m/094nqr
Mentawai people,/m/09r951
Bemba people,/m/09jpdq
Phanariotes,/m/03_zkb
Tanka people,/m/05ft4h
Bessarabia Germans,/m/0dmzkx
Argobba people,/m/0641j__
Kabyle people,/m/0bvnws
Kavango people,/m/01bjn7
Fransaskois,/m/04qjkp
Jarawa people,/m/05mvsr
Izhorians,/m/01jjky
Tofalar,/m/05kbgd
Anglo-African,/m/0546w1
Yemenite Jews,/m/01y_yk
Lao Loum,/m/05jm_n
Jicarilla Apache,/m/04gyj7
Hakka people,/m/012vvx
Beothuk people,/m/01knlv
Sudeten Germans,/m/07s46hc
Volsci,/m/014wnf
Greeks in Austria,/m/011bk1dv
Nilotic peoples,/m/0hnvz
Mozarab,/m/01rtkv
Basa people,/m/0d2jbm
Turks in Austria,/m/03d5q9r
Banu Ifran,/m/02vp4h9
Saka,/m/017_9v
Bouyei people,/m/01wwn1
E De people,/m/02rlkn6
Sobaipuri,/m/03c27wx
Sumo people,/m/0c2xyb
Aedui,/m/0_ry
Pontic Greeks,/m/05h6qn
Æchilenenses,/m/02852xr
Sundanese people,/m/04h2w6
Assiniboine people,/m/0525qm
Patamona people,/m/0dzs6h
Armenians in Syria,/m/0gbry9
Tibetan Swiss,/m/0gtwj4x
Armenians in Austria,/m/0118lbtl
Rani,/m/02vqqvj
Cajun,/m/0fqz6
Romansh people,/m/011bbfhw
Oirats,/m/026r1c
Livonians,/m/02_tmb
Ruthenians,/m/01m_rj
Yotvingians,/m/02rwfg
Sunuwar,/m/07_n95
Gaels,/m/06hfc3
Turks in Switzerland,/m/04q7wvv
Digo people,/m/0b3hkv
Nama people,/m/05rncc
